Trial,Learning_Rate,Batch_Size,Dropout_Rate,Best_Epoch,Validation_Accuracy
6,0.001,32,0.5,18,0.9959677457809448
7,0.001,64,0.3,21,0.9959677457809448
8,0.001,64,0.5,10,0.9959677457809448
9,0.0001,32,0.3,21,0.9919354915618896
10,0.0001,32,0.5,17,0.9919354915618896
5,0.001,32,0.3,9,0.9879032373428345
12,0.0001,64,0.5,24,0.9838709831237793
11,0.0001,64,0.3,19,0.9798387289047241
3,0.01,64,0.3,7,0.9717742204666138
1,0.01,32,0.3,14,0.9435483813285828
4,0.01,64,0.5,24,0.8911290168762207
2,0.01,32,0.5,1,0.2016129046678543
