Trial,Learning_Rate,Batch_Size,Dropout_Rate,Best_Epoch,Validation_Accuracy
8,0.001,64,0.5,9,1.0
4,0.01,64,0.5,23,0.9959677457809448
6,0.001,32,0.5,6,0.9959677457809448
5,0.001,32,0.3,6,0.9919354915618896
7,0.001,64,0.3,17,0.9919354915618896
9,0.0001,32,0.3,21,0.9879032373428345
10,0.0001,32,0.5,23,0.9879032373428345
2,0.01,32,0.5,15,0.9838709831237793
11,0.0001,64,0.3,16,0.975806474685669
12,0.0001,64,0.5,20,0.975806474685669
1,0.01,32,0.3,11,0.9677419066429138
3,0.01,64,0.3,19,0.9395161271095276
