Image_Path,Class_Name,Class_Index
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Speed Limit (60)\Speed_Limit_60_236.png,Speed Limit (60),2
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Stop\Stop_059.png,Stop,3
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Speed Limit (60)\Speed_Limit_60_198.png,Speed Limit (60),2
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Stop\Stop_026.png,Stop,3
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Wild animals Crossing\Wild_animals_Crossing_032.png,Wild animals Crossing,4
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_033.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Wild animals Crossing\Wild_animals_Crossing_231.png,Wild animals Crossing,4
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Speed Limit (60)\Speed_Limit_60_100.png,Speed Limit (60),2
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Slippery Road\Slippery_Road_180.png,Slippery Road,1
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Slippery Road\Slippery_Road_034.png,Slippery Road,1
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Slippery Road\Slippery_Road_065.png,Slippery Road,1
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Speed Limit (60)\Speed_Limit_60_036.png,Speed Limit (60),2
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Stop\Stop_114.png,Stop,3
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_042.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_230.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Slippery Road\Slippery_Road_017.png,Slippery Road,1
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_037.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Speed Limit (60)\Speed_Limit_60_053.png,Speed Limit (60),2
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_217.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_151.png,Pedestrians,0
C:\Users\Paula\.spyder-py3\MariaBaron-CS898BA-Project1\Report_CS898BA_Project1\Selected_Images_2\Pedestrians\Pedestrians_177.png,Pedestrians,0
